             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
HLA-DPB1	0.79	0.32	0.21	0.76	0.24		0.82	0.61	0.57	0.75	0.36			0.67	0.74
HLA-DQA2	0.69	0.71	0.75	0.8	1		0.71	0.59	0.65	0.48	0.76			0.66	0.74
HLA-E	0.28	0.19	0.71	0.18	0.55		0.21	0.29	0.62	0.07	0.28				5.38
HLA-F	0.36	0.34	0.19	0	0.28		0.01	0.09	0.02	0	0.04			5.34	7.49
HLA-G	0.68	0.42	0.13	0	1		0.58	0.23	0.41	0.07	0.21			1.41	2.59
HLF	0.67	0.43	 	0.57	0.53			0.91		0.76	 				
HM74	0.68	0.65	0.15	0.03	0.34		0.1	0.05	0.02	0.05	0.09			0.98	2.8
HMG20A	0.19	0.27	0.56	0.5	0.73		0.78	0.54	0.69	0.68	0.62			0.92	1.09
HMGA1	0.45	 	0.26	0.05	 		0.06	0.31	0.04	0.02	0.09			3.94	4.23
HMGA1L4	0.79	0.43	0.52	0.34	0.27		0.23	0.41	0.03	0.02	0.34			2.39	2.08
HMGB2	0.83	 	0.1	0.01	 		0.55	0.07	0.8	0	0.3			3.56	3.19
HMGB3	0.78	 	 	0.84	 		0.93	0.74	1	0.73	 				
HMGCR	0.89	0.95	0.57	0.56	0.69		0.74	0.67	0.24	0.32	0.67			1.51	1.65
HMGCS1	0.12	0.12	0.05	0.29	0.6		0.27	0.07	0.23	0.63	0.21			0.94	0.96
HMGCS2	0.07	0.08	0.93	0.1	0.62		0.08	0.2	0.87	0.13	0.74				1.07
HMGN1	0.43	 	0.28	0.81	 		0.62	0.29	0.7	0.82	0.39			0.86	0.9
HMGN4	0.29	 	0.81	0.01	 		0	0.01	0.58	0.02	0.55			2.84	2.54
HMMR	0.9	0.76	0.35	0.86	0.92		0.9	0.79	0.27	0.43	0.86			1.85	1.51
HMOX1	0.66	0.81	0.37	0.26	0.5		0.52	0.1	0.46	0.22	0.57			2.52	2.42
HMOX2	0.58	0.45	0.22	0.36	0.2		0.15	0.14	0.18	0.29	0.28			3.64	3.28
HN1	0.88	0.72	0.29	0.52	0.92		0.97	0.75	0.44	0.33	0.67			4.92	5.05
HNF4A	0.07	0.11	0.1	0	0.11		0.19	0.08	0.25	0.01	0.21			0.84	0.83
HNF4G	0.65		 	0.99	0.17			0.87		0.82	 				
HNMT	0.84	0.82	0.9	0.12	0.52		0.01	0.1	0	0.02	0.4			2.15	2.49
HNRPA1	0.91	0.78	0.37	0.06	0.61		0.85	0.6	0.87	0.03	0.71			5.43	7.07
HNRPA2B1	0.45	0.21	0.32	0.43	0.29		0.09	0.18	0.03	0.02	0.05			7.82	7.76
HNRPA3	0.66	0.5	0.59	0.69	0.58		0.77	0.67	0.48	0.63	0.63			1.01	0.85
HNRPAB	0.5	0.95	0.54	0.76	0.24		0.65	0.79	0.66	0.71	0.7			1.46	1.4
HNRPC	0.89	0.57	0.28	0.48	0.98		0.66	0.35	0.42	0.21	0.56			4.24	4.63
HNRPDL	0.62	0.68	0.33	0.56	0.58		0.62	0.45	0.23	0.13	0.21			2.81	2.47
HNRPF	0.16	0.15	0.06	0.34	0.15		0.58	0.62	0.29	0.63	0.22			1.01	1
HNRPH2	0.56	0.29	0.36	0.17	0.23		0.48	0.22	0.27	0.11	0.37			2.48	2.76
HNRPH3	0.93	0.63	0.2	0.39	0.61		0.2	0.06	0.1	0.06	0.22			5.94	5.69
HNRPK	0.69	0.9	0.98	0.97	0.42		0.8	0.75	0.64	0.62	0.61			1.49	1.97
HNRPM	0.43	0.72	 	0.83	0.3			0.87		0.91	 				
HNRPU	0.9	0.7	0.68	0.44	0.83		0.62	0.49	0.17	0.3	0.58			5.08	4.27
HNT	0.27	0.78	0.94	0.37	0.64		0.42	0.29	0.43	0.32	0.5			2.59	2.63
HOMER1	0.68	0.49	0.58	0.44	0.75		0.64	0.59	0.71	0.49	0.49			1.14	1.68
HOMER2	0.54	0.27	 	0.25	0.21		0.39	0.44		0.54	 			2.03	2.84
HOOK1	0.17	0.34	0.43	0.25	0.35		0.1	0.69	0.44	0.47	0.26			1.04	1.22
HOOK2	0.43	0.65	0.15	0.51	0.93		0.44	0.64	0.61	0.44	0.32			2.37	2.31
HOOK3	0.85		 		0.66		0.77			0.8	 				
HOXA1	0.71	0.73	0.97	0.93	0.4		0.75	0.81		0.75	0.92			2.26	1.07
HOXA11	0.47	0.38	0.36	0.24	0.44		0.11	0.45	0.05	0.05	0.15			3.28	1.98
HOXA13	0.12	0.62	 	0.87	0.32		0.92	0.95		0.46	 				
HOXA2	0.29	0.69	0.57	0.71	0.33		0.54	0.3	0.56	0.73	0.27			1.32	1.19
HOXA3	0.68	0.45	0.39	0.3	0.36		0.63	0.73	0.27	0.22	0.67			1.1	1.01
HOXA4	0.78	0.67	0.92	0.6	0.41		0.7	0.73	0.82	0.66	0.63			0.96	1
HOXA5	0.56	0.77	0.38	0.56	1		0.8	0.62	0.62	0.76	0.67			0.85	0.79
HOXA6	0.79		 	0.77	0.52		0.54	0.85	0.5	0.74	0.98				0.46
HOXA7	0.02	0.18	0.14	0	0.52		0	0.18	0.6	0	0.35			1.88	1.17
HOXA9	0.57	0.2	0.09	0.27	0.12		0.49	0.13	0.04	0.18	0.11			2.87	2
HOXB1	0.4	0.12	0.76	0.42	0.03		0.08	0.13	0.36	0.69	0.13			0.86	0.87
HOXB13	0.45	0.33	0.16	0.42	0.89		0.35	0.32	0.37	0.31	0.17			1	0.96
HOXB4	0.95	0.64	1	0.66	0.96		0.41	0.84	0.81	0.76	 				0.69
HOXB5	0.02	0.11	0.93	0.63	0.55		0.59	0.84	0.84	0.66	0.54			0.84	1.01
HOXB7	0.03	0.17	0.82	0.43	0.37		0.18	0.65	0.47	0.7	0.7			0.76	0.57
HOXB8	0.1	0.01	0.71	0.22	0.14		0.62	0.04	0.75	0.55	0.65			0.96	0.99
HOXB9	0.23	0.42	1	0.9	0.41		0.48	0.3		0.79	 			0.58	0.72
HOXC10	0.5	0.42	 	0.83	1		0.49	0.84	0.91	0.67	0.47				0.7
HOXC11	0.28	0.26	0.25	0.45	0.14		0.6	0.23	0.56	0.69	0.22			1	0.99
HOXC4	0.15		 	0.75	0.66		0.9	0.76		0.72	 				
HOXC5	0.7	0.19	0.59	0.37	0.4		0.64	0.78	0.74	0.49	0.55			0.93	0.92
HOXC6	0.24	0.36	0.6	0.28	0.58		0.29	0.3	0.26	0.35	0.26			1.42	1.02
HOXC8	0.93	0.77	 	0.42			0.71	0.59		0.53	 			3.91	2.75
HOXD1	0.04	0.16	0.75	0.24	0.15		0.38	0.59	0.68	0.66	0.76			0.97	0.92
HOXD10	0.27	0.56	0.17	0.31	0.31		0.57	0.46	0.83	0.65	0.28			0.98	0.8
HOXD12	0.1	0.64	0.46	0.57	0.36		0.17	0.59	0.62	0.65	0.43			0.98	0.94
HOXD13	0.02	0.1	0.23	0.1	0.22		0	0.16	0.11	0.45	0.04			1.05	0.95
HOXD3	0.2	0.16	0.25	0.45	0.3		0.7	0.38	0.81	0.69	0.74			0.69	0.7
HOXD4	0.4	0.04	0.73	0.76	1		0.58	0.13	0.79	0.82	0.74			0.62	0.63
HOXD8	0.6	0.39	0.34	0.72	0.52		0.32	0.56	0.86	0.73	0.45			0.96	0.85
HOXD9	0.85	0.5	0.47	0.82	0.52		0.97	0.84	0.81	0.67	0.62			0.99	0.89
HP	0.18	0.18	0.21	0.51	0.15		0.63	0.19	0.26	0.61	0.07			0.93	0.99
HPCAL1	0.44	0.37	0.08	0.06	0.02		0.34	0.03	0.43	0.16	0.18				1.84
HPCAL4	0.29	0.35	0.19	0.33	0.53		0.05	0.64	0.66	0.47	0.35			1.08	1.06
HPCL2	0.93	0.77	0.59	0.49	0.93		0.52	0.76	0.36	0.24	0.72			4.6	3.7
HPD	0.08	0.08	0.28	0.21	0.22		0.25	0.59	0.14	0.06	0.09			0.92	0.97
HPGD	0.32	0.35	0.38	0.46	0.95		0.21	0.38	0.84	0.78	0.46			0.73	0.86
HPN	0.03	0.19	0.66	0.07			0.03	0.67	0.95	0.57	0.96				
HPR	0.05	0.05	0.2	0.34	0.2		0.22	0.12	0.27	0.63	0.14			0.98	0.97
HPRP8BP	0.23	0.29	0.21	0.56	0.32		0.75	0.2	0.33	0.61	0.3			2.46	2.7
HPRT1	0.32	0.1	0.2	0.32	0.97		0.68	0.84	0.8	0.7	0.62			0.93	1.01
HPS1	0.15	 	0.44	0.22	 		1	0.24	0.05	0.11	0.2			3.7	3.71
HPS5	0.33	 	0.58	0.96	 		0.7	0.14	0.8	0.53	0.85			2.32	2.52
HPS6	0.47	0.2	0.25	0.1	0.33		0.09	0.38	0.18	0.1	0.12			1.1	0.98
HPX	0.12	0.32	0.72	0.57	0.52		0.17	0.82	0.49	0.78	0.39			0.74	0.84
HRAS	0.7	0.88	0.26	0.58	0.36		0.93	0.74	0.64	0.78	0.66			1.53	1.52
HRASLS	0.4	0.43	 	0.2	0.37		0.66	0.98	0.9	0.74	 				1.13
HRASLS2	0.04	0.03	0.5	0.41	0.31		0.2	0.17	0.13	0.56	0.1			0.97	0.99
HRASLS3	0.04	0.04	0.21	0.07	0.29		0.3	0.05	0.3	0.42	0.05			1.01	1.08
HRB2	0.86	0.91	0.47	0.74	0.96		0.77	0.49	0.28	0.27	0.89			2.95	2.64
HRC	0.25	0.22	0.39	0.43	0.41		0.13	0.58	0.35	0.56	0.39			0.88	0.9
HRH2	0.54	0.37	0.38	0.13	0.89		0.39	0.51	0.5	0.18	0.44			0.75	0.77
HRH4	0.97	1	0.89	0.89	1		0.96	0.88	0.84	0.85	0.99			0.62	0.65
HRK			 	0.99	0.4		0.95	0.95		0.77	 				
HRLP5	0.2	0.29	0.68	0.75	0.28		0.5	0.67	0.57	0.62	0.38			1.01	1.05
HRMT1L1	0.66	0.48	0.25	0.4	0.35		0.51	0.07	0.24	0.06	0.2			5.52	5.72
HRMT1L2	0.98	0.47	0.45	0.61	0.39		0.76	0.92	0.9	0.18	0.91			3.58	4.18
HRMT1L6	0.34	0.39	0.07	0.43	0.38		0.35	0.58	0.37	0.66	0.3			1.72	1.38
HRSP12	0.9	0.58	0.25	0.57	0.29		0.43	0.59	0.35	0.1	0.51			4.26	3.99
HS322B1A	0.32	0.54	0.4	0.65	0.4		0.42	0.37	0.64	0.7	0.31			0.72	0.71
HS3ST2	0.28	0.56	0.33	0.09	0.52		0.21	0.19	0.57	0.19	0.34			2.12	2.5
HS3ST3A1	0.43	0.27	0.4	0.58	0.36		0.1	0.5	0.38	0.31	0.21			1.29	1.37
HS3ST3B1	0.43	0.16	0.19	0.14	0.01		0.16	0.21	0.47	0.43	0.16			0.82	0.87
HSA275986	0.47	0.71	0.19	0.34	0.3		0.61	0.2	0.03	0.09	0.3			3.74	3.46
HSA9761	0.07	0.13	0.07	0.17	0.35		0.06	0.09	0.18	0.21	0.06			1.59	1.63
HSBP1	0.53	0.66	0.66	0.38	0.5		0.42	0.44	0.65	0.34	0.28			2.18	1.82
HSD11B1	0.22	0.27	0.59	0.47	1		0.43	0.83	0.71	0.63	0.8			0.52	0.62
HSD11B2	0.97		 	0.91	0.44		0.85	1		0.86	 				
HSD17B12	0.54	 	0.3	0.74	 		0.58	0.57	0.25	0.6	0.17			1.08	1.1
HSD17B2	0.52	0.74	0.77	0.56	0.67		0.53	0.53	0.23	0.45	0.56			0.96	0.93
HSD17B3	0.08	0.16	0.26	0.55	0.26		0.36	0.36	0.3	0.69	0.19			0.94	0.97
HSD17B4	0.53	0.59	0.75	0.37	1		0.15	0.57	0.58	0.09	0.75			3.02	2.76
HSD17B8	0.47	0.32	0.17	0.51	0.27		0.46	0.42	0.83	0.68	0.61			2.14	2.52
HSD3B1	0.89	0.78	0.91	0.93	0.75		0.86	0.62	0.87	0.93	0.89			0.58	0.55
HSD3B2	0.74	0.91	0.84	0.65	0.28		0.85	0.43	0.8	0.93	0.8			0.6	0.63
HSF2	0.56	0.51	0.6	0.32	0.19		0.71	0.4	0.56	0.58	0.64			1.02	1.01
HSF2BP	0.48	0.33	1	0.34	0.24		0.78	0.97	0.51	0.79	0.81			0.95	
HSF4	0.68	0.36	0.56	0.87	0.62		0.91	0.56	0.86	0.87	0.65			1.43	0.96
HSGT1	0.87	0.67	0.37	0.08	0.26		0.31	0.65	0.18	0.21	0.15			4.46	4.05
HSH2D	0.55	0.34	0.21	0.45	0.19		0.27	0.26	0.78	0.62	0.44			0.98	0.83
HSN44A4A	0.49	0.82	0.64	0.12	0.53		0.51	0.22	0.4	0.01	0.59			1.68	2.38
HSOBRGRP	0.14	0.3	0.23	0.41	0.16		0.43	0.05	0.59	0.62	0.6			1.03	1.01
HSPA12B	0.06	0.01	0.66	0.33	0.21		0.94	0.01		0.71	0.77			0.35	
HSPA14	0.71	 	0.23	0.14	 		0.28	0.17	0.33	0.06	0.61			3.13	2.66
HSPA1A	0.71	0.93	0.98	0.3	0.34		0.01	0.38	0.5	0.06	0.78			2.47	3.99
HSPA1B	0.14	0.15	0.18	0.04	0.55		0	0.03	0.06	0.05	0.03			5.21	6.36
HSPA2	0.53	0.43	0.43	0.57	0.33		0.61	0.51	0.45	0.44	0.21			0.9	0.99
HSPA5	0.18	0.54	0.33	0.21	0.66		0.39	0.25	0.27	0.22	0.22			6	5.98
HSPA5BP1	0.21	0.21	0.04	0.11	0.25		0.23	0.37	0.57	0.38	0.19			1.01	1.04
HSPA6	0.86	0.53	0.48	0.58	0.99		0.66	0.55	0.65	0.6	0.6			2.05	2.28
HSPB1	0.18	0.17	0.09	0.16	0.4		0.46	0.04	0.4	0.25	0.06			3.48	3.73
HSPB2	0.42	0.09	0.23	0.37	0.25		0.9	0.85	0.63	0.7	0.27			0.91	0.76
HSPB3	0.32	0.11	0.15	0.3	0.21		0.35	0.25	0.3	0.6	0.18			0.9	0.99
HSPB8	0.57	0.4	0.39	0.71	0.96		0.66	0.6	0.76	0.78	0.7			0.81	0.88
HSPBP1	0.69	0.4	 	0.72	0.97		0.81	0.68		0.76	 				0.82
HSPC002	0.56	0.43	0.32	0.17	0.36		0.22	0.1	0.2	0.2	0.45			3.82	4.14
HSPC003	0.99	0.47	0.12	0	0.53		0.59	0.08	0.01	0	0.05			4.05	4.06
HSPC009	0.28	0.66	0.43	0.47	0.3		0.66	0.59	0.3	0.34	0.42			2	2.17
HSPC015	0.9	 	0.59	0.4	 		0.21	0.54	0.3	0.17	0.64			4.5	4.07
HSPC016	0.9	0.69	0.35	0.47	0.02		0.92	0.76	0.73	0.36	0.93			3.87	3.97
HSPC018	0.65	0.85	0.11	0.34	0.17		0.61	0.74	0.65	0.35	0.23			2.97	2.88
HSPC023	0.07	0.05	0.36	0.1	0.29		0.01	0.08	0.06	0.16	0.21			3.87	3.16
HSPC031	0.97	0.43	0.15	0.14	0.3		0.7	0.83	0.62	0.15	0.41			3.79	3.45
HSPC039	0.09	0.27	0.57	0.36	0.14		0.39	0.27	0.48	0.62	0.24			0.86	0.87
HSPC048	0.83	0.98	0.45	0.85	0.53		0.63	0.59	0.16	0.4	0.25			2.4	3.18
HSPC049	0.55	0.28	0.25	0.52	0.25		0.32	0.24	0.81	0.64	0.5			1.35	1.19
HSPC051	0.79	0.85	0.63	0.46	0.52		0.54	0.66	0.37	0.16	0.74			4.21	4.21
HSPC052	0.54	0.4	0.33	0.09	0.58		0	0.28	0.03	0.01	0.3			2.94	2.61
HSPC054	0.52	0.87	0.53	0.75	0.38		0.73	0.41	0.66	0.64	1			1.06	1.85
HSPC063	0.22	0.75	0.97	0.71	1		0.55	0.73	0.85	0.77	0.74			2.09	2.33
HSPC065	0.95	0.16	0.59	0.51	0.95		0.83	0.75	0.88	0.32	0.48			2.21	2.18
HSPC072	0.83	0.85	0.51	0.57	0.66		0.77	0.51	0.47	0.35	0.73			3.57	3.32
HSPC073	0.92	0.72	0.2	0.16	0.52		0	0	0	0	0.11			3.13	4.43
HSPC111	0.29	0.27	0.31	0.21	0.52		0.1	0.44	0.11	0.06	0.18			4.36	4.27
HSPC117	0.86	0.4	0.94	0.79	0.95		0.88	0.97	0.68	0.35	0.86			2.66	2.75
HSPC121	0.7	0.72	0.64	0.28	0.35		0.29	0.54	0.23	0.17	0.58			2.93	1.93
HSPC128	0.79	0.67	0.11	0.12	0.34		0.05	0.3	0.02	0.06	0.17			4.18	3.56
HSPC129	0.85	0.63	0.56	0.36	0.41		0.29	0.88	0.05	0.05	0.43			4.76	4.33
HSPC133	0.35	0.21	0.14	0.26	0.93		0.65	0.3	0.38	0.69	0.23			1	0.96
HSPC135	0.43	0.6	0.36	0.42	0.42		0.33	0.42	0.37	0.44	0.32			2.85	2.39
HSPC138	0.96	0.98	0.29	0.42	1		0.9	0.71	0.01	0.02	0.45			3.27	3.24
HSPC142	0.99	0.88	0.49	0.8	0.92		0.95	0.96	0.9	0.56	0.94			2.54	2.07
HSPC144	0.86	 	0.43	0.34	 		0.7	0.93	0.76	0.45	0.8			5.51	3.99
HSPC148	0.54	0.64	0.33	0.36	0.4		0.26	0.52	0.18	0.22	0.51			3.01	2.83
HSPC150	1	0.88	0.5	0.91	0.59		0.79	0.82	0.65	0.57	0.87			2.68	2.25
HSPC152	0.66	0.9	0.35	0.44	0.62		0.65	0.54	0.31	0.17	0.29			3.96	3.75
HSPC154	0.75	0.69	0.3	0.36	0.56		0.53	0.6	0.57	0.1	0.51			4.97	4.25
HSPC155	0.29	0.03	0.3	0.16	0.22		0.27	0.03	0.91	0.57	0.9			1.14	0.95
HSPC157	0.81	0.13	0.33	0.1	0.21		0.1	0.2	0.01	0.1	0.11			5.72	5.29
HSPC159	0.62	0.29	1	0.68	0.9		0.93	0.93		0.91	 				
HSPC163	0.16	0.23	0.15	0.34	0.98		0.41	0.34	0.61	0.44	0.34			2.88	2.56
HSPC171	0.07	0.12	0.55	0.49	0.23		0.5	0.14	0.3	0.24	0.27			2.82	3.12
HSPC177	0.03	0.6	0.53	0.13	0.53		0.78	0.57	0.78	0.5	0.71			2.96	3.3
HSPC216	0.31	0.11	0.3	0.51	0.18		0.16	0.34	0.15	0.24	0.06			1.51	1.53
HSPC242	0.51	0.19	0.21	0.47	1		0.74	0.45	0.41	0.48	0.63			2	2.43
HSPCB	0.14	0.04	0.04	0	0.17		0	0	0	0	0.03			5.75	5.79
HSPH1	0.99	0.68	0.24	0.09	0.56		0.4	0.4	0.28	0.05	0.46			3.88	3.88
HSU79266	0.89	0.82	0.41	0.52	0.92		0.82	0.24	0.76	0.44	1			2.44	1.71
HSU79274	0.45	0.73	0.64	0.56	0.7		0.48	0.68	0.34	0.16	0.6			3.43	2.56
HSU79303	0.48	0.36	0.73	0.24	0.98		0.15	0.44	0.61	0.07	0.29			1.94	2.1
HSU84971	0.59	0.59	0.38	0.5	0.51		0.81	0.33	0.2	0.27	0.46			3.69	3.03
HT001	0.82	0.84	0.89	0.87	0.63		0.74	0.86	0.84	0.88	0.99			1.09	1.01
HT007	0.57	0.6	0.38	0.25	0.37		0.13	0.92	0.3	0.26	0.46			4.38	3.91
HT008	0.09	0.07	0.07	0.5	0.36		0.62	0.47	0.38	0.75	0.1			0.99	1.01
HT010	0.88	0.85	0.37	0.46	0.41		0.79	0.54	0.15	0.08	0.33			4.74	4.5
HT014	0.65	0.6	0.98	0.69	0.51		0.33	0.87	0.64	0.63	0.9			0.75	
HTATIP	0.1	0.52	0.11	0.15	0.16		0.12	0.07	0.08	0.18	0.04			1.87	1.95
HTATIP2	0.63	0.64	0.31	0.32	1		0.62	0.45	0.64	0.53	0.66			2.03	2.01
HTATSF1	0.46	0.76	0.5	0.52	0.27		0.68	0.39	0.61	0.62	0.7			1.5	1.53
HTF9C	0.19	0.1	0.23	0.18	0.23		0.12	0.39	0.21	0.3	0.11			1.27	1.82
HTLF	0.95	0.96	0.69	0.96	0.52		0.9	0.98	0.85	0.92	0.79			0.84	0.8
HTN3	0.85	0.96	0.91	0.85	0.55		0.84	0.77	0.78	0.77	0.92			0.61	0.96
HTPAP	0.45	0.28	0.47	0.25	0.18		0.02	0.46	0.21	0.1	0.33			3.06	2.86
HTR1A	0.15	0.17	0.12	0.16	0.3		0.15	0.57	0.73	0.47	0.09			0.93	0.95
HTR1B	0.1	0.7	0.44	0.47	0.55		0.54	0.41	0.41	0.53	0.31			0.83	0.99
HTR1D	0.62	1	0.38	0.58	0.95		0.46	0.48	0.79	0.72	0.71			0.71	0.71
HTR1E	0.07	0.36	0.41	0.28	0.33		0.02	0.55	0.17	0.41	0.28			1.08	1.1
HTR1F	0.58	0.52	0.72	0.86	0.55		0.95	0.6	0.7	0.86	0.62			0.63	0.7
HTR2A	0.99	0.98	0.99	0.89	1		0.98	0.6	0.87	0.95	0.94			0.62	0.51
HTR2B	0.64	0.96	0.93	0.52	0.95			0.57	0.79	0.76	0.87			1.25	1.61
HTR2C	0.15	0.61	0.79	0.23	0.43		0.34	0.22	0.95	0.72	0.6				
HTR3A	0.21	0.26	0.59	0.42	0.53		0.05	0.42	0.65	0.61	0.35			0.95	0.94
HTR3B	0.84	0.84	0.92	0.95	0.99		0.97	0.42	0.92	0.86	0.99			0.63	0.59
HTR5A	0.18	0.67	0.39	0.7	0.21		0.85	0.51	0.44	0.61	0.19			0.82	0.8
HTR6	0.75	0.82	 	0.76	0.95		0.65	0.87		0.83	 				
HTR7	0.03	0.14	0.48	0.3	0.27		0.1	0.11	0.63	0.75	0.38			1	1
HUG1	0.31	0.42	0.2	0.52	0.58		0.27	0.35	0.5	0.74	0.42			0.82	0.92
humNRDR	0.39	 	0.51	0.54	 		0.3	0.22	0.33	0.17	0.36			3.72	2.66
HUNK	0.25	0.03	 	0.82	0.7		0.48	0.96	0.93	0.58	 			1.73	1.62
HUS1	0.98	0.5	0.27	0.42	0.66		0.76	0.85	0.04	0.16	0.59			4.28	4.24
HYAL1	0.24	0.07	0.07	0.51	0.28		0.12	0.1	0.45	0.67	0.07			1	0.96
HYAL2	0.39	0.56	0.39	0.52	0.52		0.45	0.41	0.09	0.15	0.12			2.15	1.73
HYAL3	0.51	0.84	0.43	0.11	0.54		0.44	0.51	0.58	0.03	0.7			3.89	2.88
HYAL4	0.07	0.07	0.06	0.02	0.11		0.25	0.25	0.35	0.03	0.03			0.8	0.81
HYPE	0.18	0.1	0.3	0.54	0.36		0.07	0.2	0.26	0.54	0.19			1.09	1.11
HYPK	0.56	0.53	0.16	0.31	1		0.2	0.47	0.41	0.25	0.36			4.56	4.26
I-4	0.37	0.63	0.38	0.72	0.69		0.96	0.95	0.87	0.9	0.65			0.76	0.75
IAN4L1	0.59	0.25	0.7	0.76	0.41		0.47	0.63	0.37	0.31	0.74			1.51	1.27
IAPP	0.95	0.97	0.94	0.96	0.61		0.88	0.75	0.91	0.81	0.88			0.63	0.63
IARS	0.18	0.13	0.11	0.32	0.4		0.59	0.4	0.58	0.29	0.45			3.26	2.6
IBSP	0.88	0.9	0.71	0.87	0.54		0.84	0.83	0.75	0.9	0.82			0.65	0.75
ICA1	0.26	0.1	0.95	0.81	0.93		0.37	0.85	0.87	0.74	0.88			0.99	0.77
ICAM1	0.2	0.06	0.05	0.01	0.27		0	0	0	0	0			4.86	6.07
ICAM4	0.15	0.06	0.35	0.38	0.11		0.03	0.02	0	0.07	0			2.25	3.92
ICAM5	0.21	0.56	0.24	0.22	0.15		0.43	0.22	0.13	0.55	0.2			1.74	2.9
ICK	0.91	0.61	0.73	0.17	0.99		0.77	0.27	0.13	0.01	0.65			1.5	0.98
ICOS	0.93	0.93	0.99	0.94	0.95		1	0.97	0.98	0.91	0.96			0.68	0.67
ICSBP1	0.43	0.43	0.81	0.85	0.27		0.91	0.95	0.81	0.47	0.38			1	1.03
ICT1	0.18	0.25	0.43	0.38	0.23		0.41	0.39	0.15	0.24	0.31			2.64	2
ID1	0.84	0.35	0.21	0.55	0.58		0.84	0.58	0.7	0.44	0.56			3	3.04
ID4	0.45	0.37	0.52	0.45	0.57		0.15	0.53	0.72	0.33	0.74			0.88	0.98
IDE	0.44	0.97	0.23	0.58	0.63		0.63	0.8	0.41	0.41	0.44			2.26	1.91
IDH1	0.54	0.05	0.47	0.89	1		0.68	0.34	0.73	0.56	0.56			0.99	0.88
IDH2	0.78	0.43	0.67	0.66	0.94		0.82	0.62		0.65	 				
IDH3A	0.67	0.66	0.84	0.79	0.94		0.85	0.75	0.62	0.57	0.88			3.23	2.79
IDH3B	0.09	0.25	0.42	0.2	0.35		0.15	0.05	0.25	0.5	0.19			1.84	1.96
IDH3G	0.55	0.76	0.5	0.17	0.67		0.58	0.43	0.45	0.1	0.44			4.25	3.87
IDI1	0.81	0.34	0.6	0.42	0.98		0.64	0.47	0.25	0.24	0.66			4.36	4.62
IER2	0.83	0.04	0.97	1	0.91		0.37	0.76		0.47	 			3.73	3.43
IER3	0.46	0.2	0.07	0.54	0.3		0	0	0.01	0.16	0.17			5.31	5.48
IER5	0.98	0.59	0.63	0.5	0.99		0.47	0.54	0.11	0.04	0.27			5.61	6.51
IF	0.65	0.76	0.96	0.87	0.39		0.94	0.35	0.56	0.8	0.8			0.64	0.77
IFI27	0.77	0.66	0.52	0.71	0.58		0.37	0.41	0.76	0.75	0.73			0.76	0.78
IFI44	0.83	 	0.7	0.94	 		0.98	0.98	0.91	0.94	0.97			0.76	0.63
IFIH1	0.42	0.32	 	0.96	0.39		0.94	0.82		0.8	 				
IFIT1	0.96	0.82	0.71	0.55	0.97		0.25	0.9	0.73	0.34	0.82			1.34	1.33
IFIT3	0.05	0.28	0.22	0.53	0.27		0.39	0.08	0.35	0.66	0.19			1	0.95
IFIT5	0.98	0.86	0.6	0.81	0.41		0.55	0.79	0.73	0.44	0.86			1.03	0.98
IFITM2	0.45	0.25	0.2	0.34	0.43		0.35	0.7	0.21	0.22	0.15			2.09	1.79
IFNA1	0.54	0.45	0.5	0.43	0.22		0.83	0.56	0.5	0.85	0.36			0.55	0.55
IFNA10	0.04	0.62	0.39	0.66	0.95		0.75	0.77	0.83	0.81	0.69			0.54	0.47
IFNA13	0.48	0.47	0.34	0.58	0.54		0.28	0.33	0.77	0.83	0.65			0.64	0.6
IFNA14	0.1	0.08	0.15	0.51	0.17		0.08	0.28	0.31	0.61	0.16			0.99	1.01
IFNA16	0.15	0.84	0.4	0.68	1		0.41	0.61	0.67	0.8	0.59			0.58	0.57
IFNA17	0.58	0.78	0.55	0.67	0.2		0.62	0.71	0.6	0.9	0.55			0.55	0.53
IFNA2	0.35	0.23	0.81	0.63	0.95		0.27	0.3	0.58	0.6	0.6			0.72	0.75
IFNA21	0.27	0.64	0.43	0.51	0.55		0.73	0.33	0.63	0.84	0.61			0.58	0.57
IFNA4	0.37	0.89	0.66	0.61	0.33		0.57	0.69	0.67	0.9	0.75			0.55	0.58
IFNA5	0.43	0.39	0.33	0.86	0.41		0.73	0.92	0.91	0.71	0.92				0.67
IFNA6	0.23	0.62	0.41	0.52	0.98		0.48	0.32	0.85	0.69	0.74			0.64	0.64
IFNA7	0.52	0.67	0.75	0.57	1		0.59	0.8	0.62	0.83	0.66			0.58	0.57
IFNA8	0.09	0.62	0.49	0.5	0.17		0.71	0.6	0.79	0.82	0.71			0.69	0.75
IFNAR1	0.89	0.58	0.13	0.09	0.43		0.18	0.37	0.03	0.01	0.29			5.16	6.12
IFNAR2	0.24	0.72	 	0.17	0.8		0.32	0.6	0.69	0.65	 			2.59	2.31
IFNB1	0.77	0.89	0.92	0.95	1		0.84	0.6	0.92	0.59	0.96			0.71	0.65
